Who were the United Empire Loyalists?,Settlers who came to Canada from the United States during the American Revolution.,Aboriginal peoples.,Métis,Inuit.
What does Confederation mean?,Joining of provinces to make a new country.,The United States Confederate soldiers came to Canada.,Joining of communities to become a province.,Joining of suburbs to form a large city.
What year was Confederation?,1867.,1871.,1898.,1864.
When did the British North America Act come into effect?,1867.,1871.,1898.,1905.
Which province was split into two at Confederation?,The Province of Canada,Lower Canada,Newfoundland,Upper Canada
Which was the last province to join Canada?,Newfoundland.,Alberta.,Saskatchewan.,British Columbia.
When is Canada Day and what does it celebrate?,We celebrate the anniversary of Confederation July 1st of each year.,June 15 of each year to celebrate the anniversary of Confederation.,August 8th of each year to celebrate the joining of British Columbia to Confederation.,May 21st of each year to remember Queen Victoria.
What part of the Constitution legally protects the basic rights and freedoms of all Canadians?,The Canadian Charter of Rights and Freedoms.,The British Charter of Rights and Freedoms.,The Canadian Charter of Rights.,The Canadian Charter of Freedoms.
When did the Canadian Charter of Rights and Freedoms become part of the Canadian Constitution?,1982.,1867.,1905.,1878.
Who were the Voyagers?,Montreal-based traders who travelled by canoe,Immigrants to Canada in the 18th Century,Explorers searching for the North-West Passage,Geographers who first charted the coastline of British Columbia
Give an example of how you can show responsibility by participating in your community.,Volunteer.,Mind your own business.,Have a party.,Keep your property tidy.
What happened at the Battle of the Plains of Abraham?,The British defeated the French marking the end of France's empire in America,The Voyagers battled with the British for fur trading rights,Americans fought the United Empire Loyalists during the American Revolution,The French defeated the British in a battle for Quebec
What will you promise when you take the Oath of Citizenship?,Pledge allegiance to the Queen, observe the laws of Canada and fulfil the duties of a Canadian.,Pledge to be faithful to the Queen.,Promise to observe the laws of Canada.,Fulfil duties as a Canadian citizen.
What are the two official languages of Canada?,English and French.,English and Métis.,Inuktitut and French.,English and Inuktitut.
Give an example of where English and French have equal status in Canada.,In the Parliament of Canada.,In schools.,In the workplace.,At City Hall.
Where do most French-speaking Canadians live?,Quebec.,Ontario.,Nova Scotia.,Prince Edward Island.
In Canada's justice system what does "presumption of innocence" mean?,Everyone is innocent until proven guilty,Everyone is guilty until proven innocent,Guilt is decided by public opinion,Innocence is decided by public opinion
What does the Canadian flag look like?,White with a red border on each end and a red maple leaf in the centre.,Red and white with provincial emblems.,Red and white with a beaver.,Red with a white maple leaf.
Give the first line of Canada's national anthem?,O Canada! Our home and native land!,O Canada! Our province and native land!,O Canada! From far and wide, O Canada, We stand on guard for thee.,O Canada! We stand on guard for thee.
From where does the name "Canada" come from?,From "Kanata", the Huron-Iroquois word for village.,From the Inuit word meaning country.,From the French word meaning joining.,From the Métis word meaning rivers.
What is the capital city of Canada?,Ottawa.,Toronto.,Montreal.,Hull.
What are the provinces of Central Canada and their capital cities?,Ontario (Toronto) and Quebec (Quebec City).,Manitoba (Winnipeg) and Ontario (Toronto).,Quebec (Quebec City) and Prince Edward Island (Charlottetown).,Saskatchewan (Regina) and Manitoba Winnipeg).
Name the five regions of Canada,Atlantic, Central, Prairie, West Coast, and North,Midwest, North, South, East, Central,Maritimes, Ontario, Quebec, Prairies, and British Columbia,West, Central, East, Prairies, and Territories
Which region covers more than one-third of Canada?,Northern Territories.,Central Canada.,Prairies.,Atlantic Canada.
Where are the Great Lakes?,Between Ontario and the United States,Manitoba.,Northern Quebec.,Atlantic Canada.
Where are the Parliament Buildings located?,Ottawa.,Quebec City.,Hull.,Toronto.
In what industry do most Canadians work?,Service.,Natural resources,Tourism.,Manufacturing.
What is the name of the Governor General?,Julie Payette,David Johnston.,Elizabeth May.,Dalton McGuinty.
What do you call the Sovereign's representative in the provinces?,Lieutenant-Governor.,Premier.,Member of the Legislative Assembly.,Senator.
What do you call a law before it is passed?,A Bill.,A New law.,A Proposed law.,A New proposal.
Who do Members of Parliament represent?,Everyone who lives in his or her electoral district.,All of the Canadians living in the north.,Only Canadians living in Central Canada.,Canadians living in the province in which he/she was elected.
What do you mark on a federal election ballot?,An "X".,The candidate's name.,The number for the candidate.,The voter's name.
How is the Prime Minister chosen?,The leader of the party with the most elected representatives becomes the Prime Minister.,The Queen appoints the Prime Minister.,The Governor General with the Senate appoint the Prime Minister.,The MPs vote on the Prime Minister.
Which party becomes the Official Opposition?,The party with the second most MPs.,The party receiving the least votes.,Any independent candidate.,The party the Prime Minister selects.
What is the role of the Opposition parties?,To oppose or try to improve government proposals.,To assist the Prime Minister.,To sign bills.,To put forward bills to be passed.
Which party is the Official Opposition at the federal level?,The Conservative Party.,The New Democratic Party.,The Liberal Party.,The Independent Party.
What is the name of the Prime Minister of Canada and his/her party?,Justin Trudeau (Liberal Party).,Stephen Harper (Conservative Party).,Thomas Mulcair (New Democratic Party).,Christie Clark (Liberal Party).
What is a voter information card?,A form that tells you when and where to vote.,Tells you who the candidates are in your electoral district.,Tells you what province to vote in.,A form that lets you know your voting time.
Who has the right to run as a candidate in federal elections?,Any Canadian citizen who is at least 18 years old.,Anyone.,A Canadian citizen who is 16 years old.,Any man who is at least 18 years old.
Which federal political party is in power?,Liberal Party.,Green Party.,New Democratic Party.,Conservative Party.
How are Senators chosen?,Senators are appointed by the Governor General on the advice of the Prime Minister.,By the Governor General of Canada.,By the Premiers of all provinces.,Appointed by the Queen.
What should you do if you do not receive a voter information card telling you when and where to vote?,Call Elections Canada or visit their website.,Go to the police station.,Call your Member of Parliament.,Assume you cannot vote.
Which of the following statements about residential schools is NOT true?,The schools were welcomed by the Aboriginal people.,The federal government placed many Aboriginal children in residential schools to educate and assimilate them into mainstream Canadian culture.,The schools were poorly funded and inflicted hardship on the students.,Aboriginal language and cultural practices were mostly prohibited.
Who are the Quebecers?,People of Quebec.,European settlers in the 1600s.,Descendants of the French colonists.,Descendants of the Anglophones.
Who was the first leader of a responsible government in the Canadas in 1849?,Sir Louis-Hippolyte La Fontaine.,Sir John A. Macdonald.,Robert Baldwin.,Louis Riel.
Who is General Sir Arthur Currie?,Canada's greatest soldier in the First World War.,A military leader of the Métis in the 19th century.,A great frontier hero.,An explorer of western Canada.
When is Remembrance Day celebrated?,November 11th.,July 1st,October 1st.,December 25th
In the 1960s, Quebec experienced an era of rapid change. What is this called?,The Quiet Revolution.,The West Movement.,The Revolution.,La Francophonie.
What is Canada's national winter sport?,Hockey.,Golf.,Nordic skiing.,Lacrosse.
Who are the founding peoples of Canada?,Aboriginal, French and British.,Métis, French and British.,Aboriginal, Métis and British.,Inuit, Aboriginal and British.
What does the word "Inuit" mean?,"The people" in the Inuktitut language.,"Eskimo" in Inuktitut language.,"Home" in English.,"The Arctic Land" in Inuktitut language.
What percentage of Aboriginal people are First Nations?,65%.,30%.,6%.,50%.
What did the Canadian Pacific Railway symbolize?,Unity.,Easy access to the West Coast.,What can be achieved by working together.,Ribbons of steel.
What is the highest military honour a Canadian can receive?,Victoria Cross.,Purple Cross.,Badge of Courage.,Order of Merit.
Who is considered the father of Manitoba?,Louis Riel,John A. Macdonald,Sam Steele,Alfred Boyd
What does the term "responsible government" mean?,The ministers of the Crown must have the support of a majority of the elected representatives in order to govern.,Each person in each electoral district is responsible for voting.,The Governor General is responsible for the actions of the Prime Minister.,All Canadians are responsible for each other.
When you vote on election day, what do you do?,Go to the voting station with your voter's card and ID, mark an X next to your chosen candidate, fold the ballot and present it to the poll officials who will tear off the ballot number and give you the ballot to deposit in the box,Go to the voting station, tell them who you are and mark your X. Give the ballot back to the attendant.,Go to the voting station, remove 1 ballot and after marking your X deposit it in the ballot box.,Go to the voting station, take your voter's card with proof if identity, highlight your choice on the ballot and deposit it in the box.
Name two key documents that contain our rights and freedoms.,Canadian Charter of Rights and Freedoms and Magna Carta (the Great Charter of Freedoms).,The Canadian Constitution and English common law.,Civil code of France and the Canadian Constitution.,Laws passed by Parliament and English common law.
What is the significance of the discovery of insulin by Sir Frederick Banting and Charles Best?,Insulin has saved 16 million lives worldwide.,Insulin is a hormone that permits you to eat anything you wish.,Discovering insulin opened the doors to more discoveries.,Discovering insulin made Drs. Banting and Best famous.
Which three countries are signatories to NAFTA?,Canada, Mexico and the United States.,Canada, the United Kingdom and the United States.,Canada, the United States and Japan.,Canada, Denmark and Andorra.
What was the significance of June 6, 1944 invasion of Normandy?,Canadians made a significant contribution to the defeat of Nazism and Fascism in Europe during the Second World War.,It led to the establishment of the Juno Awards.,It liberated North Africa from Nazi occupation.,It resulted in the forcible relocation of Canadians of Japanese origin.
How is a Cabinet Minister chosen?,By the Prime Minister,By the Queen.,By the voters.,By other Cabinet Ministers.
Canada has three territories and how many provinces?,10,13,3,5
Who is the leader of the Federal Official Opposition Party?,Andrew Scheer,Thomas Mulcair,Stéphane Dion,Elizabeth May
Why is trade with other countries important to Canada?,It enhances our economy and raises our standard of living.,It enhances our standard of living.,It makes it easier for us to travel to foreign countries.,It brings in cheaper goods.
Who is the Head of Government?,The Prime Minister,The President,The Queen,The Governor General
What is the highest court in Canada?,The Supreme Court of Canada,The Queen's Court,The Senate Court of Canada,The Crown Court of Canada
Which province was to first to grant voting rights to women?,Manitoba,Quebec,Ontario,Nova Scotia
What year did Newfoundland and Labrador join Canada?,1949,1867,1955,1880
Where does Canada rank in the world's largest countries?,Second,First,Third,Fourth
What is a Francophone?,A person who speaks French as their first language,A person who speaks English as their first language,A smartphone designed by the Canadian company RIM,The first phone in Canada, invented by Alexander Graham Bell
Which port is the largest and busiest in Canada?,The Port of Vancouver,The Port of Halifax,The Port of Montreal,The Port of Victoria
Who led an armed uprising and seized Fort Garry?,Louis Riel,John A. Macdonald,Sam Steele,George-Étienne Cartier
What is the capital city of Ontario?,Toronto,Kingston,Ottawa,London,
What are the three main groups of Aboriginal peoples?,First Nations, Métis and Inuit.,Acadians, Métis and Inuit.,United Empire Loyalists, Métis and Inuit.,Inuit, Métis and Acadians.
Who are the Métis?,A distinct people of mixed Aboriginal and European ancestry.,The distinct aboriginal people of Atlantic Canada.,A people of mixed Inuit/First Nations ancestry most of whom live on the Prairies.,First Nations people speaking the Michif dialect.
Name two fundamental freedoms protected by the Canadian Charter of Rights and Freedoms.,Freedom of conscience and religion, and Freedom of association.,Equality rights, and to care for Canada's heritage.,Basic freedoms, and obeying laws.,Aboriginal peoples' rights, and to volunteer.
Name six responsibilities of citizenship.,Obeying the law, taking responsibility for oneself and one's family, helping others in the community, voting in elections, serving on a jury, protecting and enjoying our heritage and environment.,Getting a job, making money, raising a family, paying taxes, mowing your lawn, voting in provincial elections.,Voting in municipal elections only, joining a political party, getting a job, obeying the law, driving safely, picking up litter.,Caring for the environment, not littering, paying taxes, obeying the law, helping others, respecting others.
Which province is the only officially bilingual province?,New Brunswick.,Quebec.,Ontario.,Prince Edward Island.
Which animal is an official symbol of Canada?,The beaver.,The moose.,The hawk.,The deer.
What are the three main types of industry in Canada?,Natural resources, manufacturing and services.,Natural resources, tourism and service industries..,Tourism, services and manufacturing.,Natural resources, tourism and manufacturing.
Which region is known as the industrial and manufacturing heartland of Canada?,Central Canada.,Atlantic provinces.,Prairie provinces.,West Coast.
Who is the Queen's representative in Canada?,Governor General of Canada.,Prime Minister of Canada.,Premier.,Her Majesty Queen Elizabeth II.
What are the three parts of Parliament?,The Sovereign, the House of Commons and the Senate.,The Sovereign, Governor General and Prime Minister.,The House of Commons, the Legislative Assembly and the Senate.,The Queen, the Legislative Assembly and the Senate.
What are the three levels of government in Canada?,Federal, Provincial and Territorial, Municipal (local).,Federal, Provincial and City.,Federal, Territorial and Provincial.,Federal, State and Local.
What is the government of all of Canada called?,Federal.,National assembly.,Legislature.,Council.
What did the Fathers of Confederation do?,They worked together to establish a new country, the Dominion of Canada,They were explorers who formed an expedition to survey Northern Canada,They formed a republic state in Canada,They were a group of politicians that tried to unite Canada to the United States
How is the government formed after a federal election?,Ordinarily, the party with the most elected representatives becomes the party in power. The leader of this party becomes the Prime Minister.,The party with the most elected representatives becomes the party in power. The Queen chooses the Prime Minister from this party,The Governor General picks a party and a President to run the government.,Each province elects one representative to form the government. The Queen then chooses the Prime Minister.
Who are the Acadians?,The descendants of French colonists who began settling in what are now the Maritime provinces in 1604.,Aboriginal people of the arctic.,French-speaking Catholics living in Ontario.,English speaking refugees who settled in Louisiana.
What is the largest religious affiliation in Canada?,Catholic.,Muslim.,Jewish.,Hindu.
Which of the following sentences best describes the War of 1812?,The USA invaded Canada and was defeated, which ensured that Canada would remain independent of the United States.,Napoleon's fleet was defeated by the Royal Navy in the war.,The USA became independent from the British Empire after the war.,Canada joined the United States after the war.
Who was Sir Sam Steele?,A great frontier hero, Mounted Policeman and soldier of the Queen.,A military leader of the Métis in the 19th century.,The first Prime Minister of Canada.,The Father of Manitoba.
Who had played an important part in building the Canadian Pacific Railway (CPR)?,Chinese railroad workers.,American railroad engineers.,Acadian railroad workers.,African American slaves.
What is the "head tax"?,Race-based entry fee charged for Chinese entering Canada.,Fee charged for anyone entering Canada after 1900.,A tax imposed on beer beginning in 1867.,Fee charged for moving westward in the early 1900s.
Approximately how many Canadians served in the First World War?,More than 600,000.,7000.,8 million.,About 60,000.
What was the Women's Suffrage Movement?,The effort by women to achieve the right to vote.,The effort by women to participate in military service.,An unsuccessful movement to get husbands to do housework.,The effort by women to be in Parliament.
Who have major responsibilities on First Nations reserves?,Band chiefs and councillors.,Municipal governments.,Provincial and territorial governments.,Federal government.
What is meant by the equality of women and men?,Men and women are equal under the law.,Men and women must both do housework.,Women may now go to school and enter the professional workforce.,A woman may now become Prime Minister.
What does it mean to say Canada is a constitutional monarchy?,Canada's Head of State is a hereditary Sovereign (Queen or King) who reigns in accordance with the Constitution.,The Sovereign (Queen or King) is the law maker of Canada.,The Sovereign (Queen or King) represents Canadians in Parliament.,The Sovereign (Queen or King) approves bills before becoming law.
What is the role of the courts in Canada?,To settle disputes.,To enforce the law.,To guide people in our society.,To express values and beliefs of Canadians.
What is the difference between the role of the Sovereign and that of the Prime Minister?,The Sovereign is the guardian of Constitutional freedoms, the Prime Minister selects the Cabinet ministers and is responsible for operations and policy of government.,The Sovereign is Head of State, the Prime Minister oversees provincial policies.,The Sovereign links Canada to 52 other nations and the Prime Minister is the guardian of Constitutional freedoms.,The Sovereign is the symbol of Canadian sovereignty and the Prime Minister is her aide.
What are some examples of taking responsibility for yourself and your family?,Getting a job, taking care of one's family and working hard in keeping with one's abilities.,Buying a house and a TV.,Doing laundry and keeping the house clean.,Study hard so you can earn enough money to take a vacation.
A Member of Parliament from Montreal announces that she will spend her weekend in her electoral district. This means she would be:,In the part of Montreal where she was elected.,In her office on Parliament Hill.,Visiting the province of Quebec.,Going on a vacation.
Who led Quebec into Confederation?,Sir George-Étienne Cartier,Sir Louis-Hippolyte La Fontaine,Sir Wilfrid Laurier,Sir John A. Macdonald
Which provincial flag features the fleur-de-lys?,Quebec,New Brunswick,Manitoba,Ontario
Which province has its own time zone?,Newfoundland and Labrador,British Columbia,Nunavut,Nova Scotia
Who led an armed uprising and seized Fort Garry?,Louis Riel,John A. Macdonald,Sam Steele,George-Étienne Cartier,
What is the name of the Royal Anthem of Canada?,God Save the Queen (or King).,O Canada.,La Marseillaise,The Star-Spangled Banner.
Name three additional rights protected by the Canadian Charter of Rights and Freedoms,Mobility rights, Multiculturalism, and Aboriginal Peoples' rights.,Freedom of speech, Right to own land, and Right to a fair trial.,Right to ski anywhere in Canada, Moving rights, and Right to public assembly.,Right to vote, Right to speak publicly, and Security rights.
What are the provinces of the Atlantic region and their capital cities?,Newfoundland and Labrador (St. John's), Nova Scotia (Halifax), New Brunswick (Fredericton) and Prince Edward Island (Charlottetown).,Nova Scotia (Halifax), New Brunswick (Fredericton), Prince Edward Island (Charlottetown) and Quebec (Quebec).,Newfoundland and Labrador (St. John's), Nova Scotia (Halifax), New Brunswick (Fredericton) and Quebec (Quebec).,Nova Scotia (Halifax), New Brunswick (Fredericton), Quebec (Quebec City)and Ontario (Toronto).
What are the territories of Northern Canada and their capital cities?,Yukon Territory (Whitehorse), Northwest Territories (Yellowknife), and Nunavut (Iqaluit).,Alaska (Juneau) and Yukon Territory ( Whitehorse).,Northwest Territories (Yellowknife) and Alaska (Juneau).,Northwest Territories (Yellowknife).
Which country borders Canada on the south?,United States of America.,Central America.,Mexico.,Washington.
Which region of Canada is known for both its fertile agricultural land and valuable energy resources?,Prairie provinces.,British Columbia.,Ontario.,Manitoba.
Who has the right to vote in federal elections?,A Canadian citizen, 18 years or older, and on voters' list.,A Canadian citizen, 18 years or older and must work for the federal government.,A landed immigrant, 18 years old and a memberof the Canadian Forces.,A Canadian citizen, over 25 years and a member of the Canadian Forces.
When asked, who must you tell how you voted in a federal election?,No one.,Your employer.,A police officer.,An Elections Canada official.
Which Act granted, for the first time in Canada, legislative assemblies elected by the people?,The Constitutional Act of 1791.,The Constitutional Act of 1867.,The Constitutional Act of 1982.,The Constitutional Act of 2010.
In Canada, are you allowed to question the police about their service or conduct?,Yes, if you feel the need to.,No, police service and conduct is not open to discussion with Canadians.,Yes, you can question their service but not their conduct.,Yes, you can question their conduct but not their service.
Fatima is a new immigrant in Canada. What law allows her to take a job at par with a man?,Equality of women and men,Equality of all races.,Equal pay for equal work.,Equal rights.
Why is the battle of Vimy Ridge important?,Canadian Corps secured its reputation for valour and bravery.,It was a key position of the German line in Northern Spain.,It was the "hinge" of the German line as it protected the newly constructed Hindenburg line.,Once Canadians fought at Vimy they knew they would be heading home.
What does the "right to a secret ballot" mean?,No one can watch your vote and no one should look at how you voted,No one should tell you where to vote,A secret vote used by politicians when they are voting on sensitive topics,Your right to vote in secret on who to appoint to the Senate
Who are the Aboriginal peoples of Canada?,The first people to live in Canada,The first European settlers to arrive in Canada,The descendents of the first Australian immigrants to Canada,The first settlers of Newfoundland
What is the meaning of the Remembrance Day poppy?,To remember the sacrifice of Canadians who have served or died in wars up to the present day.,To remember our Sovereign, Queen Elizabeth II.,To celebrate Confederation.,To honour Prime Ministers who have died.
Name all the federal political parties in the House of Commons and their leaders,Conservative (Scheer), NDP (Singh), Liberal (Trudeau), Bloc Quebecois (Ouellet), Green Party (May),Conservative (Harper), Green (May), Liberal (Trudeau), Bloc Quebecois (Duceppe),NDP (Mulcair), Green (May), Liberal (Rae), Bloc Quebecois (Paillé),Liberal (Ignatieff), Conservative (Ambrose), NDP (Turmel), Green (May)
After a federal election, which party forms the new government?,The party with the most elected representatives is invited by the Governor General to become the party in power.,The Queen herself picks any party to run the government.,The Governor General proposes a law for elected officials to become the governing body.,The Premiers of each province pick a party to run the government
What is a majority government?,When the party in power holds at least half of the seats in the House of Commons.,When the party in power holds about one third of the seats in the House of Commons,When the party in power holds about one quarter of the seats in the House of Commons.,When the part in power holds at least half of the seats in the Senate.
The Canadian Coat of Arms and motto is "A Mari Usque Ad Mare." This means:,From sea to sea.,From the ocean to the sea.,From the sea to the ends of the earth.,From the water to the earth.
Name two responsibilities of the provincial and territorial government.,Health and Education,Citizenship and Foreign Policy,Defense and Currency,Criminal Law and Interprovincial Trade
What is the capital city of Ontario?,Toronto,Kingston,Ottawa,London
Who was the first Prime Minister of Canada?,Sir John A. Macdonald.,Louis Riel.,Lester B. Pearson.,Abraham Lincoln.
What song is Canada's national anthem?,O Canada.,God Save the Queen.,Star Spangled Banner.,Amazing Grace.
In which region do more than half the people in Canada live?,Central Canada.,Prairies.,Atlantic Canada.,Northern Canada.
Which of the following is NOT a feature of Canada's system of government?,Dictatorship.,A federal state.,Parliamentary democracy.,Constitutional Monarchy.
Which province is the main producer of pulp and paper and hydro-electricity?,Quebec,Ontario,British Columbia,Manitoba
What was the "Underground Railroad"?,An anti-slavery network that helped thousands of slaves escape the United States and settle in Canada,A railroad through the Rockies that was mainly through mountain tunnels,A network fur traders used to transport beaver pelts to the United States,The first underground subway tunnel in Toronto