What is the name of the Royal Anthem of Canada?,God Save the Queen (or King),O Canada,La Marseillaise,The Star-Spangled Banner
When did the British North America Act come into effect?,1867,1871,1898,1905
What is the meaning of the Remembrance Day poppy?,To remember the sacrifice of Canadians who have served or died in wars up to the present day,To honour Prime Ministers who have died,To celebrate Confederation,To remember our Sovereign, Queen Elizabeth II
Which province is the only officially bilingual province?,New Brunswick,Quebec,Ontario,Prince Edward Island
What are the provinces of Central Canada and their capital cities?,Ontario (Toronto) and Quebec (Quebec City),Manitoba (Winnipeg) and Ontario (Toronto),Quebec (Quebec City) and Prince Edward Island (Charlottetown),Saskatchewan (Regina) and Manitoba Winnipeg)
Who are the Métis?,A distinct people of mixed Aboriginal and European ancestry.,The distinct aboriginal people of Atlantic Canada.,A people of mixed Inuit/First Nations ancestry most of whom live on the Prairies.,First Nations people speaking the Michif dialect.
What does Confederation mean?,Joining of provinces to make a new country.,The United States Confederate soldiers came to Canada.,Joining of communities to become a province.,Joining of suburbs to form a large city.
Which province was split into two at Confederation?,The Province of Canada,Lower Canada,Newfoundland,Upper Canada
Who was the first Prime Minister of Canada?,Sir John A. Macdonald.,Louis Riel.,Lester B. Pearson.,Abraham Lincoln.
What part of the Constitution legally protects the basic rights and freedoms of all Canadians?,The Canadian Charter of Rights and Freedoms.,The British Charter of Rights and Freedoms.,The Canadian Charter of Rights.,The Canadian Charter of Freedoms.
Name two fundamental freedoms protected by the Canadian Charter of Rights and Freedoms.,Freedom of conscience and religion, and Freedom of association.,Equality rights, and to care for Canada's heritage.,Basic freedoms, and obeying laws.,Aboriginal peoples' rights, and to volunteer.
Who were the Voyagers?,Montreal-based traders who travelled by canoe,Immigrants to Canada in the 18th Century,Explorers searching for the North-West Passage,Geographers who first charted the coastline of British Columbia
Name six responsibilities of citizenship.,Obeying the law, taking responsibility for oneself and one's family, helping others in the community, voting in elections, serving on a jury, protecting and enjoying our heritage and environment.,Getting a job, making money, raising a family, paying taxes, mowing your lawn, voting in provincial elections.,Voting in municipal elections only, joining a political party, getting a job, obeying the law, driving safely, picking up litter.,Caring for the environment, not littering, paying taxes, obeying the law, helping others, respecting others.
Give an example of how you can show responsibility by participating in your community.,Volunteer.,Mind your own business.,Have a party.,Keep your property tidy.
Give an example of where English and French have equal status in Canada.,In the Parliament of Canada.,In schools.,In the workplace.,At City Hall.
In Canada's justice system what does "presumption of innocence" mean?,Everyone is innocent until proven guilty,Everyone is guilty until proven innocent,Guilt is decided by public opinion,Innocence is decided by public opinion
What does the Canadian flag look like?,White with a red border on each end and a red maple leaf in the centre.,Red and white with provincial emblems.,Red and white with a beaver.,Red with a white maple leaf.
Give the first line of Canada's national anthem?,O Canada! Our home and native land!,O Canada! Our province and native land!,O Canada! From far and wide, O Canada, We stand on guard for thee.,O Canada! We stand on guard for thee.
From where does the name "Canada" come from?,From "Kanata", the Huron-Iroquois word for village.,From the Inuit word meaning country.,From the French word meaning joining.,From the Métis word meaning rivers.
Which animal is an official symbol of Canada?,The beaver.,The moose.,The hawk.,The deer.
What is the capital city of Canada?,Ottawa.,Toronto.,Montreal.,Hull.
What are the Prairie provinces and their capital cities?,Alberta (Edmonton), Saskatchewan (Regina) and Manitoba (Winnipeg).,Alberta (Edmonton) and Saskatchewan (Regina).,Saskatchewan (Regina) and Manitoba (Winnipeg).,Saskatchewan (Regina), Manitoba (Winnipeg) and Ontario (Toronto).
Which region covers more than one-third of Canada?,Northern Territories.,Central Canada.,Prairies.,Atlantic Canada.
One third of all Canadians live in which province?,Ontario.,Quebec.,Northwest Territories.,Manitoba.
Where are the Great Lakes?,Between Ontario and the United States,Manitoba.,Northern Quebec.,Atlantic Canada.
Where are the Parliament Buildings located?,Ottawa.,Quebec City.,Hull.,Toronto.
Which province in Canada is the smallest in land size?,Prince Edward Island.,Nova Scotia.,Yukon Territory.,Newfoundland and Labrador.
On what date did Nunavut become a territory?,April 1st, 1999,July 1st, 1867,June 24th, 1995,March 31st, 1949
What are the three main types of industry in Canada?,Natural resources, manufacturing and services.,Natural resources, tourism and service industries..,Tourism, services and manufacturing.,Natural resources, tourism and manufacturing.
Which region of Canada is known for both its fertile agricultural land and valuable energy resources?,Prairie provinces.,British Columbia.,Ontario.,Manitoba.
What is the name of the Governor General?,Julie Payette,David Johnston.,Elizabeth May.,Dalton McGuinty.
What do you call a law before it is passed?,A Bill.,A New law.,A Proposed law.,A New proposal.
What are the three levels of government in Canada?,Federal, Provincial and Territorial, Municipal (local).,Federal, Provincial and City.,Federal, Territorial and Provincial.,Federal, State and Local.
What did the Fathers of Confederation do?,They worked together to establish a new country, the Dominion of Canada,They were explorers who formed an expedition to survey Northern Canada,They formed a republic state in Canada,They were a group of politicians that tried to unite Canada to the United States
When asked, who must you tell how you voted in a federal election?,No one.,Your employer.,A police officer.,An Elections Canada official.
What do you mark on a federal election ballot?,An "X".,The candidate's name.,The number for the candidate.,The voter's name.
How is the Prime Minister chosen?,The leader of the party with the most elected representatives becomes the Prime Minister.,The Queen appoints the Prime Minister.,The Governor General with the Senate appoint the Prime Minister.,The MPs vote on the Prime Minister.
Which party is the Official Opposition at the federal level?,The Conservative Party.,The New Democratic Party.,The Liberal Party.,The Independent Party.
What is a voter information card?,A form that tells you when and where to vote.,Tells you who the candidates are in your electoral district.,Tells you what province to vote in.,A form that lets you know your voting time.
Who has the right to run as a candidate in federal elections?,Any Canadian citizen who is at least 18 years old.,Anyone.,A Canadian citizen who is 16 years old.,Any man who is at least 18 years old.
Which federal political party is in power?,Liberal Party.,Green Party.,New Democratic Party.,Conservative Party.
What should you do if you do not receive a voter information card telling you when and where to vote?,Call Elections Canada or visit their website.,Go to the police station.,Call your Member of Parliament.,Assume you cannot vote.
Which of the following statements about residential schools is NOT true?,The schools were welcomed by the Aboriginal people.,The federal government placed many Aboriginal children in residential schools to educate and assimilate them into mainstream Canadian culture.,The schools were poorly funded and inflicted hardship on the students.,Aboriginal language and cultural practices were mostly prohibited.
Who are the Quebecers?,People of Quebec.,European settlers in the 1600s.,Descendants of the French colonists.,Descendants of the Anglophones.
Who are the Acadians?,The descendants of French colonists who began settling in what are now the Maritime provinces in 1604.,Aboriginal people of the arctic.,French-speaking Catholics living in Ontario.,English speaking refugees who settled in Louisiana.
What is the largest religious affiliation in Canada?,Catholic.,Muslim.,Jewish.,Hindu.
Which of the following sentences best describes the War of 1812?,The USA invaded Canada and was defeated, which ensured that Canada would remain independent of the United States.,Napoleon's fleet was defeated by the Royal Navy in the war.,The USA became independent from the British Empire after the war.,Canada joined the United States after the war.
Who was the first leader of a responsible government in the Canadas in 1849?,Sir Louis-Hippolyte La Fontaine.,Sir John A. Macdonald.,Robert Baldwin.,Louis Riel.
Who was Sir Sam Steele?,A great frontier hero, Mounted Policeman and soldier of the Queen.,A military leader of the Métis in the 19th century.,The first Prime Minister of Canada.,The Father of Manitoba.
What is the "head tax"?,Race-based entry fee charged for Chinese entering Canada.,Fee charged for anyone entering Canada after 1900.,A tax imposed on beer beginning in 1867.,Fee charged for moving westward in the early 1900s.
Approximately how many Canadians served in the First World War?,More than 600,000.,7000.,8 million.,About 60,000.
When is Remembrance Day celebrated?,November 11th.,July 1st,October 1st.,December 25th
Which of the following is NOT a feature of Canada's system of government?,Dictatorship.,A federal state.,Parliamentary democracy.,Constitutional Monarchy.
Who have major responsibilities on First Nations reserves?,Band chiefs and councillors.,Municipal governments.,Provincial and territorial governments.,Federal government.
What is Canada's national winter sport?,Hockey.,Golf.,Nordic skiing.,Lacrosse.
What is meant by the equality of women and men?,Men and women are equal under the law.,Men and women must both do housework.,Women may now go to school and enter the professional workforce.,A woman may now become Prime Minister.
What does the word "Inuit" mean?,"The people" in the Inuktitut language.,"Eskimo" in Inuktitut language.,"Home" in English.,"The Arctic Land" in Inuktitut language.
What did the Canadian Pacific Railway symbolize?,Unity.,Easy access to the West Coast.,What can be achieved by working together.,Ribbons of steel.
What does it mean to say Canada is a constitutional monarchy?,Canada's Head of State is a hereditary Sovereign (Queen or King) who reigns in accordance with the Constitution.,The Sovereign (Queen or King) is the law maker of Canada.,The Sovereign (Queen or King) represents Canadians in Parliament.,The Sovereign (Queen or King) approves bills before becoming law.
What is the highest military honour a Canadian can receive?,Victoria Cross.,Purple Cross.,Badge of Courage.,Order of Merit.
What does the term "responsible government" mean?,The ministers of the Crown must have the support of a majority of the elected representatives in order to govern.,Each person in each electoral district is responsible for voting.,The Governor General is responsible for the actions of the Prime Minister.,All Canadians are responsible for each other.
In Canada, are you allowed to question the police about their service or conduct?,Yes, if you feel the need to.,No, police service and conduct is not open to discussion with Canadians.,Yes, you can question their service but not their conduct.,Yes, you can question their conduct but not their service.
What is the role of the courts in Canada?,To settle disputes.,To enforce the law.,To guide people in our society.,To express values and beliefs of Canadians.
Name two key documents that contain our rights and freedoms.,Canadian Charter of Rights and Freedoms and Magna Carta (the Great Charter of Freedoms).,The Canadian Constitution and English common law.,Civil code of France and the Canadian Constitution.,Laws passed by Parliament and English common law.
What is the difference between the role of the Sovereign and that of the Prime Minister?,The Sovereign is the guardian of Constitutional freedoms, the Prime Minister selects the Cabinet ministers and is responsible for operations and policy of government.,The Sovereign is Head of State, the Prime Minister oversees provincial policies.,The Sovereign links Canada to 52 other nations and the Prime Minister is the guardian of Constitutional freedoms.,The Sovereign is the symbol of Canadian sovereignty and the Prime Minister is her aide.
What is the significance of the discovery of insulin by Sir Frederick Banting and Charles Best?,Insulin has saved 16 million lives worldwide.,Insulin is a hormone that permits you to eat anything you wish.,Discovering insulin opened the doors to more discoveries.,Discovering insulin made Drs. Banting and Best famous.
Which three countries are signatories to NAFTA?,Canada, Mexico and the United States.,Canada, the United Kingdom and the United States.,Canada, the United States and Japan.,Canada, Denmark and Andorra.
What was the significance of June 6, 1944 invasion of Normandy?,Canadians made a significant contribution to the defeat of Nazism and Fascism in Europe during the Second World War.,It led to the establishment of the Juno Awards.,It liberated North Africa from Nazi occupation.,It resulted in the forcible relocation of Canadians of Japanese origin.
What is a majority government?,When the party in power holds at least half of the seats in the House of Commons.,When the party in power holds about one third of the seats in the House of Commons,When the party in power holds about one quarter of the seats in the House of Commons.,When the part in power holds at least half of the seats in the Senate.
A Member of Parliament from Montreal announces that she will spend her weekend in her electoral district. This means she would be:,In the part of Montreal where she was elected.,In her office on Parliament Hill.,Visiting the province of Quebec.,Going on a vacation.
Who led Quebec into Confederation?,Sir George-Étienne Cartier,Sir Louis-Hippolyte La Fontaine,Sir Wilfrid Laurier,Sir John A. Macdonald
How is a Cabinet Minister chosen?,By the Prime Minister,By the Queen.,By the voters.,By other Cabinet Ministers.
Canada has three territories and how many provinces?,10,13,3,5
Who is the Head of Government?,The Prime Minister,The President,The Queen,The Governor General
Which province was to first to grant voting rights to women?,Manitoba,Quebec,Ontario,Nova Scotia
Which provincial flag features the fleur-de-lys?,Quebec,New Brunswick,Manitoba,Ontario
Where does Canada rank in the world's largest countries?,Second,First,Third,Fourth
Which province has its own time zone?,Newfoundland and Labrador,British Columbia,Nunavut,Nova Scotia
Which political party is in power in Nunavut?,Governed by consensus,Progressive Conservative,Liberal,Nunavut Party
What is the name of the leader of the Opposition in Nunavut?,None,Don Morin,Joe Handley,Eva Aariak
What is the capital City of the Nunavut?,Iqaluit,Sinaa,Nipisa,Mivvik